Iteration,Feature Count,Feature Set,Metric,Best Metric,Acceptance Probability,Random Number,Outcome
1,4,"[1, 3, 6, 9]",0.775,0.811,0.9646402934831231,0.5297983727147761,Accept
2,4,"[0, 1, 6, 9]",0.816,0.816,-,-,Improved
3,4,"[0, 1, 6, 8]",0.823,0.823,-,-,Improved
4,5,"[0, 1, 4, 6, 8]",0.829,0.829,-,-,Improved
5,6,"[0, 1, 3, 4, 6, 8]",0.828,0.829,0.998086147879625,0.028494172428849107,Accept
6,7,"[0, 1, 3, 4, 6, 8, 9]",0.834,0.834,-,-,Improved
7,8,"[0, 1, 2, 3, 4, 6, 8, 9]",0.835,0.835,-,-,Improved
8,7,"[1, 2, 3, 4, 6, 8, 9]",0.825,0.835,0.9692877600583678,0.1951722542457195,Accept
9,6,"[1, 2, 3, 4, 8, 9]",0.712,0.835,0.6605428261235672,0.6050434264112049,Accept
10,7,"[0, 1, 2, 3, 4, 8, 9]",0.716,0.835,-,-,Improved
11,7,"[0, 1, 2, 3, 4, 8, 9]",0.68,0.835,0.8328866703207344,0.868758050407964,Reject
12,8,"[0, 1, 2, 3, 4, 5, 8, 9]",0.834,0.835,-,-,Improved
13,8,"[0, 1, 2, 3, 5, 7, 8, 9]",0.816,0.835,0.8811343932616225,0.6293552377903712,Accept
14,9,"[0, 1, 2, 3, 5, 6, 7, 8, 9]",0.816,0.835,1.0,0.8743760809469291,Accept
15,8,"[1, 2, 3, 5, 6, 7, 8, 9]",0.796,0.835,0.8231556693089482,0.525138275287811,Accept
16,9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",0.824,0.835,-,-,Improved
17,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.833,0.835,-,-,Improved
18,9,"[0, 1, 3, 4, 5, 6, 7, 8, 9]",0.832,0.835,0.9842803736630832,0.5367284907272935,Accept
19,8,"[0, 1, 3, 4, 6, 7, 8, 9]",0.829,0.835,0.9456131469213457,0.021131490006171316,Accept
20,9,"[0, 1, 2, 3, 4, 6, 7, 8, 9]",0.831,0.835,-,-,Improved
21,9,"[0, 1, 2, 3, 4, 5, 6, 7, 9]",0.83,0.835,0.9745298730782691,0.5138449488066554,Accept
22,9,"[0, 1, 2, 3, 4, 5, 6, 7, 9]",0.821,0.835,0.7609576371044935,0.9973394025219168,Reject
23,9,"[0, 1, 2, 3, 4, 5, 6, 8, 9]",0.835,0.835,-,-,Improved
24,9,"[0, 1, 2, 4, 5, 6, 7, 8, 9]",0.835,0.835,1.0,0.8000809656430271,Accept
25,8,"[0, 1, 2, 5, 6, 7, 8, 9]",0.825,0.835,0.6100288783991603,0.09453485831495623,Accept
26,8,"[0, 1, 2, 5, 6, 7, 8, 9]",0.823,0.835,0.8902135707110977,0.9910841356536809,Reject
27,8,"[0, 1, 2, 4, 5, 6, 7, 9]",0.837,0.837,-,-,Improved
28,8,"[0, 1, 2, 4, 5, 6, 7, 9]",0.829,0.837,0.5252706954786287,0.7691152785145069,Reject
29,7,"[0, 2, 4, 5, 6, 7, 9]",0.812,0.837,0.09375554389348024,0.006887781505185542,Accept
